submission_folder,job,started_at,n_total_trials,trial_directories,named_in_stats,pending,running,n_retries,n_errored
Capy__GPT-5.5,eval-terminal-bench-2-0-gpt-5-5-e25dd8c5-1777356131551,2026-04-28T06:03:52.260294,89,89,89,0,0,0,0
ClaudeCode__GLM-4.7,2026-02-06__13-08-08,2026-02-06T13:08:08.980553,445,445,445,0,0,0,0
CodeBrain-1.5__GPT-5.3-Codex,2026-03-25__23-09-28,2026-03-25T23:09:30.210587,89,89,89,0,0,0,0
CodeBrain-1.5__GPT-5.3-Codex,2026-03-26__09-20-33,2026-03-26T09:20:35.263184,89,89,89,0,0,0,0
CodeBrain-1.5__GPT-5.3-Codex,2026-03-26__19-46-49,2026-03-26T19:46:51.417351,89,89,89,0,0,0,0
CodeBrain-1.5__GPT-5.3-Codex,2026-03-27__14-46-04,2026-03-27T14:46:06.803946,89,89,89,0,0,0,0
CodeBrain-1.5__GPT-5.3-Codex,2026-03-28__12-07-28,2026-03-28T12:07:30.312564,89,89,89,0,0,0,0
CodeBrain-1__GPT-5.3-Codex,2026-02-08__11-01-20,2026-02-08T11:01:20.705363,89,89,89,0,0,0,0
CodeBrain-1__GPT-5.3-Codex,2026-02-08__20-43-33,2026-02-08T20:43:34.164328,89,89,89,0,0,0,0
CodeBrain-1__GPT-5.3-Codex,2026-02-09__01-09-07,2026-02-09T01:09:07.837111,89,89,89,0,0,0,0
CodeBrain-1__GPT-5.3-Codex,2026-02-09__10-03-38,2026-02-09T10:03:38.779416,89,89,89,0,0,0,0
CodeBrain-1__GPT-5.3-Codex,2026-02-09__14-06-10,2026-02-09T14:06:10.750919,89,89,89,0,0,0,0
CodeBrain-1__Gemini-3-Pro-Preview,2026-01-31__22-50-53,2026-01-31T22:50:53.460007,89,89,89,0,0,0,0
CodeBrain-1__Gemini-3-Pro-Preview,2026-02-01__11-30-31,2026-02-01T11:30:31.923140,89,89,89,0,0,0,0
CodeBrain-1__Gemini-3-Pro-Preview,2026-02-01__16-43-15,2026-02-01T16:43:15.378445,89,89,89,0,0,0,0
CodeBrain-1__Gemini-3-Pro-Preview,2026-02-05__00-52-21,2026-02-05T00:52:21.991857,89,89,89,0,0,0,0
CodeBrain-1__Gemini-3-Pro-Preview,2026-02-05__11-19-55,2026-02-05T11:19:55.521131,89,89,89,0,0,0,0
Codelia__GPT-5.3-Codex,2026-03-19__13-21-41,2026-03-19T13:21:42.687123,89,89,89,0,0,0,0
Codelia__GPT-5.3-Codex,2026-03-20__01-17-35,2026-03-20T01:17:36.703574,89,89,89,0,0,0,0
Codelia__GPT-5.3-Codex,2026-03-20__06-21-30,2026-03-20T06:21:32.115737,89,89,89,0,0,0,0
Codelia__GPT-5.3-Codex,2026-03-20__16-44-43,2026-03-20T16:44:44.651980,89,89,89,0,0,0,0
Codelia__GPT-5.3-Codex,2026-03-21__12-12-19,2026-03-21T12:12:20.817408,89,89,89,0,0,0,0
Crux__Claude-Opus-4.6,submission-run,2025-11-23T17:13:59.994238,,445,0,0,0,0,0
Deep-Agents__GPT-5.2-Codex,2026-02-10__12-43-13,2026-02-10T17:50:43.548483,445,445,445,0,0,0,0
Dirac__Gemini-3-Flash-Preview,2026-04-18__15-04-03,2026-04-19T13:37:10.601601,445,445,445,0,0,0,0
Droid__Claude-Opus-4.6,fudge_2026-01-29__03-21-39,2026-01-29T03:21:49.327127,89,89,89,0,0,0,0
Droid__Claude-Opus-4.6,fudge_2026-01-29__06-23-59,2026-01-29T06:24:09.200365,89,89,89,0,0,0,0
Droid__Claude-Opus-4.6,fudge_2026-01-29__07-55-11,2026-01-29T07:55:21.419072,89,89,89,0,0,0,0
Droid__Claude-Opus-4.6,fudge_2026-01-29__23-21-40,2026-01-29T23:21:50.972317,89,89,89,0,0,0,0
Droid__Claude-Opus-4.6,fudge_2026-01-30__02-21-25,2026-01-30T02:21:35.477638,89,89,89,0,0,0,0
Droid__GPT-5.3-Codex,53codex_2026-02-16__17-43-12,2026-02-16T17:43:22.338660,89,89,89,0,0,0,0
Droid__GPT-5.3-Codex,53codex_2026-02-21__21-58-56,2026-02-21T21:59:06.674565,89,89,89,0,0,0,0
Droid__GPT-5.3-Codex,53codex_2026-02-22__06-09-07,2026-02-22T06:09:16.798827,89,89,89,0,0,0,0
Droid__GPT-5.3-Codex,53codex_2026-02-22__09-59-36,2026-02-22T09:59:46.447570,89,89,89,0,0,0,0
Droid__GPT-5.3-Codex,53codex_2026-02-22__10-19-01,2026-02-22T10:19:11.531825,89,89,89,0,0,0,0
Forge__GPT-5.4,2026-03-07__04-54-03,2026-03-07T04:54:03.767856,445,445,445,0,0,0,0
Forge__Gemini-3.1-Pro-Preview,2026-02-26__14-28-30,2026-02-26T14:28:30.763588,445,445,445,0,0,0,0
Forge__Opus-4.6,2026-03-11__06-58-11,2026-03-11T06:58:12.061039,445,445,445,0,0,0,0
Gemini_CLI__Gemini-3-Flash-Preview,2026-03-05__16-55-44,2026-03-05T16:55:46.484742,445,445,445,0,0,0,0
Gemini_CLI__Gemini-3.1-Pro-Preview,eval-pro-3.1-preview,2026-03-24T15:49:05.049528,445,445,445,0,0,0,0
IndusAGICodingAgent__MiniMax-M2.7,2026-03-21__09-39-15,2026-03-21T09:39:17.740529,445,445,445,0,0,0,0
IndusAGICodingAgent__gpt-5.3-codex,2026-03-17__07-15-58,2026-03-17T07:15:59.990811,445,445,445,0,0,0,0
JJAgent__Multiple,2026-05-04__14-46-15,2026-05-04T14:46:16.550277,445,445,445,0,0,0,10
JJAgent__Multiple,2026-05-05__18-36-48,2026-05-05T18:36:48.677240,445,445,445,0,0,0,9
Judy__Claude-Opus-4.6,2026-02-10__18-07-36,2026-02-10T18:07:36.927409,89,89,89,0,0,0,0
Judy__Claude-Opus-4.6,2026-02-11__11-58-19,2026-02-11T11:58:20.119783,89,89,89,0,0,0,0
Judy__Claude-Opus-4.6,2026-02-12__11-31-57,2026-02-12T11:31:58.352553,89,89,89,0,0,0,0
Judy__Claude-Opus-4.6,2026-02-12__18-19-55,2026-02-12T18:19:55.999460,89,89,89,0,0,0,0
Judy__Claude-Opus-4.6,2026-02-13__00-57-16,2026-02-13T00:57:17.101874,89,89,89,0,0,0,0
Judy__Gemini-3.1-Pro-Preview,2026-03-07__01-45-03,2026-03-07T01:45:04.402132,89,89,89,0,0,0,0
Judy__Gemini-3.1-Pro-Preview,2026-03-07__14-20-34,2026-03-07T14:20:39.408193,89,89,89,0,0,0,0
Judy__Gemini-3.1-Pro-Preview,2026-03-08__06-54-22,2026-03-08T06:54:23.433930,89,89,89,0,0,0,0
Judy__Gemini-3.1-Pro-Preview,2026-03-08__16-45-59,2026-03-08T16:45:59.616559,89,89,89,0,0,0,0
Judy__Gemini-3.1-Pro-Preview,2026-03-08__16-47-12,2026-03-08T16:47:13.473673,89,89,89,0,0,0,0
Junie_CLI__Gemini-3-Flash-Preview-Gemini-3.1-Pro-Preview-Claude-Opus-4.6-GPT-5.3-Codex,2026-03-06__12-25-19,2026-03-06T12:25:20.482677,445,445,445,0,0,0,0
LemonCode__GPT-5.3-Codex,2026-04-20__19-24-11,2026-04-20T19:24:16.663591,89,89,89,0,0,0,0
LemonCode__GPT-5.3-Codex,2026-04-21__21-02-37,2026-04-21T21:02:42.000943,89,89,89,0,0,0,0
LemonCode__GPT-5.3-Codex,2026-04-22__20-13-58,2026-04-22T20:14:03.324287,89,89,89,0,0,0,0
LemonCode__GPT-5.3-Codex,2026-04-23__21-08-00,2026-04-23T21:08:04.748601,89,89,89,0,0,0,0
LemonCode__GPT-5.3-Codex,2026-04-24__20-07-02,2026-04-24T20:07:07.323663,89,89,89,0,0,0,0
LemonHarness_GPT-5.3-CodeX,2026-04-25__23-23-13,2026-04-25T23:23:18.276148,89,89,89,0,0,0,0
LemonHarness_GPT-5.3-CodeX,2026-04-26__20-40-52,2026-04-26T20:40:56.869715,89,89,89,0,0,0,0
LemonHarness_GPT-5.3-CodeX,2026-04-27__20-59-57,2026-04-27T21:00:02.462236,89,89,89,0,0,0,0
LemonHarness_GPT-5.3-CodeX,2026-04-28__12-03-11,2026-04-28T12:03:16.465166,89,89,89,0,0,0,0
LemonHarness_GPT-5.3-CodeX,2026-04-29__10-54-12,2026-04-29T10:54:17.463278,89,89,89,0,0,0,0
MAYA__Claude-4.5-sonnet,2025-11-13__09-25-32,2025-11-13T09:25:33.171503,89,89,89,0,0,0,0
MAYA__Claude-4.5-sonnet,2025-12-05__06-20-00,2025-12-05T06:20:01.356618,89,89,89,0,0,0,0
MAYA__Claude-4.5-sonnet,2025-12-05__16-42-55,2025-12-05T16:42:55.812136,89,89,89,0,0,0,0
MAYA__Claude-4.5-sonnet,2025-12-06__16-31-45,2025-12-06T16:31:46.333631,89,89,89,0,0,0,0
MAYA__Claude-4.5-sonnet,2025-12-09__13-26-21,2025-12-09T13:26:22.424863,89,89,89,0,0,0,0
MAYA__Claude-4.6-opus,2026-02-27__16-48-59,2026-02-27T16:49:01.374825,89,89,89,0,0,0,0
MAYA__Claude-4.6-opus,2026-03-02__08-17-24,2026-03-02T08:17:26.744225,89,89,89,0,0,0,0
MAYA__Claude-4.6-opus,2026-03-04__07-44-02,2026-03-04T07:44:05.006986,89,89,89,0,0,0,0
MAYA__Claude-4.6-opus,2026-03-05__07-04-22,2026-03-05T07:04:24.548037,89,89,89,0,0,0,0
MAYA__Claude-4.6-opus,2026-03-09__08-44-46,2026-03-09T08:44:49.524872,89,89,89,0,0,0,0
Meta-Harness__Claude-Opus-4.6,2026-03-26__meta-harness-v1,2026-03-25T23:08:45.444375,445,445,445,0,0,0,0
Mux__Claude-Opus-4.5,2026-01-16__00-15-05,2026-01-16T00:15:07.091479,89,89,89,0,0,0,0
Mux__Claude-Opus-4.6,2026-02-09__01-47-04,2026-02-09T01:47:06.406380,89,89,89,0,0,0,0
Mux__Claude-Opus-4.6,2026-02-09__01-47-09,2026-02-09T01:47:10.619046,89,89,89,0,0,0,0
Mux__Claude-Opus-4.6,2026-02-10__00-43-32,2026-02-10T00:43:33.814734,89,89,89,0,0,0,0
Mux__Claude-Opus-4.6,2026-02-10__02-03-21,2026-02-10T02:03:23.003846,89,89,89,0,0,0,0
Mux__Claude-Opus-4.6,2026-02-10__02-43-25,2026-02-10T02:43:26.721632,89,89,89,0,0,0,0
Mux__GPT-5.2,2026-01-16__00-55-00,2026-01-16T00:55:01.792820,89,89,89,0,0,0,0
Mux__GPT-5.3-Codex,2026-02-11__13-01-28,2026-02-11T13:01:28.903638,89,89,89,0,0,0,0
Mux__GPT-5.3-Codex,2026-02-11__15-49-49,2026-02-11T15:49:49.291306,89,89,89,0,0,0,0
Mux__GPT-5.3-Codex,2026-02-11__17-02-37,2026-02-11T17:02:37.348554,89,89,89,0,0,0,0
Mux__GPT-5.3-Codex,2026-02-12__09-49-12,2026-02-12T09:49:12.535751,89,89,89,0,0,0,0
Mux__GPT-5.3-Codex,2026-02-12__13-28-42,2026-02-12T13:28:43.314263,89,89,89,0,0,0,0
NexAU-AHE__gpt-5.5,run-1,2026-05-06T17:14:44.853317,89,89,89,0,0,0,0
NexAU-AHE__gpt-5.5,run-2,2026-05-06T17:14:43.797782,89,89,89,0,0,0,0
NexAU-AHE__gpt-5.5,run-3,2026-05-02T06:13:15.260951,178,178,178,0,0,0,0
NexAU-AHE__gpt-5.5,run-4,2026-05-06T14:26:14.734155,89,89,89,0,0,0,0
OB-1_GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-02-21__12-03-27,2026-02-21T12:03:28.676433,89,89,89,0,0,0,0
OB-1_GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-02-22__10-25-31,2026-02-22T10:25:33.654607,89,89,89,0,0,0,0
OB-1_GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-02-24__01-21-30,2026-02-24T01:21:32.354714,89,89,89,0,0,0,0
OB-1_GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-02-25__10-05-26,2026-02-25T10:05:28.413088,89,89,89,0,0,0,0
OB-1_GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-02-25__17-36-00,2026-02-25T17:36:02.313615,89,89,89,0,0,0,0
OB-1_GPT-5.4-GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-03-06__15-35-05,2026-03-06T15:35:07.325205,89,89,89,0,0,0,0
OB-1_GPT-5.4-GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-03-06__18-04-12,2026-03-06T18:04:15.154045,89,89,89,0,0,0,0
OB-1_GPT-5.4-GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-03-06__22-10-12,2026-03-06T22:10:14.049210,89,89,89,0,0,0,0
OB-1_GPT-5.4-GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-03-07__00-42-23,2026-03-07T00:42:24.866845,89,89,89,0,0,0,0
OB-1_GPT-5.4-GPT-5.3-Codex-Claude-Opus-4.5-Claude-Opus-4.6,2026-03-10__12-20-19,2026-03-10T12:20:21.313855,89,89,89,0,0,0,0
OpenCode__Claude-Opus-4.5,2026-01-11__01-42-13,2026-01-12T01:05:35.763578,89,89,89,0,0,0,0
OpenSage__GPT-5.3-Codex,2026-03-04__17-15-16,2026-03-04T17:15:17.393221,89,89,89,0,0,0,0
OpenSage__GPT-5.3-Codex,2026-03-06__14-31-56,2026-03-06T14:31:57.138268,89,89,89,0,0,0,0
OpenSage__GPT-5.3-Codex,2026-03-06__23-35-01,2026-03-06T23:35:01.989356,89,89,89,0,0,0,0
OpenSage__GPT-5.3-Codex,2026-03-07__02-36-36,2026-03-07T02:36:36.608900,89,89,89,0,0,0,0
OpenSage__GPT-5.3-Codex,2026-03-08__01-10-22,2026-03-08T01:10:22.983078,89,89,89,0,0,0,0
OpenSage__Gemini-3-Pro-Preview,2026-01-23__08-25-43,2026-01-23T08:25:45.386378,89,89,89,0,0,0,0
OpenSage__Gemini-3-Pro-Preview,2026-01-23__22-00-30,2026-01-23T22:00:30.986059,89,89,89,0,0,0,0
OpenSage__Gemini-3-Pro-Preview,2026-01-25__05-43-22,2026-01-25T05:43:23.347654,89,89,89,0,0,0,0
OpenSage__Gemini-3-Pro-Preview,2026-01-25__20-11-02,2026-01-25T20:11:03.366536,89,89,89,0,0,0,0
OpenSage__Gemini-3-Pro-Preview,2026-02-12__20-47-36,2026-02-12T20:47:39.068644,89,89,89,0,0,0,0
Polaris__Claude-Opus-4.7-GPT-5.5-Gemini-3.1-Pro,tbench-polaris-api-k5-concurrent8-20260506-193109,2026-05-06T19:31:13.146320,445,445,445,0,0,0,2
Simplai-Agent__Claude-Sonnet-4.6,submission-sonnet46-20260417-100503,2026-04-17T10:05:09.239317,445,445,445,0,0,0,0
Simple-Codex__GPT-5.3-Codex,simple-codex-gpt-5.3-codex-5x-duplicate,2026-02-05T09:16:39.152261,445,445,445,0,0,0,0
Terminus-KIRA__Claude-Opus-4.6,2026-02-13__11-48-54,2026-02-13T11:48:54.854331,445,445,445,0,0,0,0
Terminus-KIRA__Gemini-3.1-Pro-Preview,2026-02-20__11-30-30,2026-02-20T11:30:32.204287,445,445,445,0,0,0,0
Terminus2__Claude-Opus-4.6,2026-02-05__16-08-28,2026-02-05T16:08:29.167428,89,89,89,0,0,0,0
Terminus2__Claude-Opus-4.6,2026-02-05__17-41-47,2026-02-05T23:02:53.663444,356,356,356,0,0,0,0
Terminus2__DeepSeek-V3.2,2026-02-07__07-47-43,2026-02-07T07:47:43.790426,445,445,445,0,0,0,0
Terminus2__GLM-4.7,2026-01-27__12-34-00,2026-01-27T08:38:07.017317,445,445,445,0,0,0,0
Terminus2__GLM-5,2026-02-14__13-57-51,2026-02-14T13:57:51.299228,445,445,445,0,0,0,0
Terminus2__GPT-5.3-Codex,terminus-gpt-5.3-codex-5x,2026-02-04T21:18:43.482053,445,445,445,0,0,0,0
Terminus2__Kimi-k2.5,2026-01-26__22-34-00,2026-01-27T22:25:42.729285,445,445,445,0,0,0,0
Terminus2__Minimax-m2.5,2026-02-18__13-31-00,2026-02-17T21:51:32.484264,445,445,445,0,0,0,0
WOZCODE__Claude-Opus-4-7,2026-04-19__20-07-00,2026-04-19T15:58:26.325540,445,445,481,0,0,0,0
Wecode__GPT-5.5,wecode-tb2-4-30-5,2026-04-30T06:28:13.843594,445,445,445,0,0,0,0
WozCode__Claude-Opus-4.6,2026-03-28__16-52-39,,,445,,,,,
cchuter__minimax-m2.5,2026-03-08__22-02-04,2026-03-08T22:02:04.975101,445,445,445,0,0,0,0
clnkr__GPT-5.5,2026-05-07__03-15-33,2026-05-06T22:22:40.188760,445,445,445,0,0,0,39
copilot-cli__claude-opus-4.6,2026-04-02__18-13-37,2026-04-02T18:13:37.417249,445,445,445,0,0,0,0
dakou__qwen3-coder-480b,2025-12-25__23-49-10,2025-12-26T00:05:22.067211,445,445,445,0,0,0,0
grok-cli__grok-4.20-0309-reasoning,job-part1,2026-04-01T13:29:24.046124,445,130,131,0,0,0,0
grok-cli__grok-4.20-0309-reasoning,job-part2,2026-04-01T17:34:30.235218,356,356,356,0,0,0,0
grok-cli__grok-4.20-0309-reasoning,job-part3,2026-04-01T22:29:42.748510,11,10,10,0,0,0,0
harness-agent__minimax-m2-7-highspeed,2026-04-27__02-11-40,2026-04-27T02:11:42.201567,445,445,445,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__14-18-06,2026-01-15T14:18:07.814417,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__14-43-11,2026-01-15T14:43:12.543064,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__17-31-50,2026-01-15T17:31:52.225350,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__18-17-16,2026-01-15T18:17:18.333388,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__19-09-35,2026-01-15T19:09:38.701858,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__19-27-41,2026-01-15T19:27:43.987419,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__20-33-53,2026-01-15T20:33:54.860406,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__21-26-23,2026-01-15T21:26:25.258865,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__21-33-44,2026-01-15T21:33:46.098781,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__22-02-11,2026-01-15T22:02:12.736473,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-15__23-37-27,2026-01-15T23:37:29.124499,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__00-57-03,2026-01-16T00:57:04.734692,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__09-00-42,2026-01-16T09:00:44.118876,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__10-14-28,2026-01-16T10:14:29.655242,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__10-36-27,2026-01-16T10:36:28.842170,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__11-24-23,2026-01-16T11:24:24.524846,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__18-26-05,2026-01-16T18:26:07.190283,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__18-47-40,2026-01-16T18:47:41.865556,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__19-31-33,2026-01-16T19:31:35.028433,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__19-57-03,2026-01-16T19:57:05.177320,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__22-42-32,2026-01-16T22:42:33.490365,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-16__23-14-33,2026-01-16T23:14:35.267101,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-17__01-30-36,2026-01-17T01:30:38.320686,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-17__13-33-21,2026-01-17T13:33:22.805340,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-17__18-59-56,2026-01-17T18:59:57.710482,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-17__20-02-03,2026-01-17T20:02:05.497822,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-17__20-50-10,2026-01-17T20:50:12.127327,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-18__16-20-01,2026-01-18T16:20:02.914377,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-18__22-00-43,2026-01-18T22:00:45.641943,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-19__11-45-13,2026-01-19T11:45:15.041010,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-20__10-20-52,2026-01-20T10:20:54.020309,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-21__13-58-53,2026-01-21T07:26:08.741530,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-21__17-43-03,2026-01-21T13:44:07.463550,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-21__22-29-46,2026-01-21T22:29:46.510537,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-21__23-47-08,2026-01-21T23:47:08.510537,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-22__19-27-40,2026-01-22T19:27:41.474034,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-23__10-39-25,2026-01-23T10:39:26.583452,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-24__10-46-42,2026-01-24T10:46:43.435052,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-24__14-05-36,2026-01-24T14:05:37.757390,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-24__18-04-38,2026-01-24T18:04:40.415037,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-24__19-06-08,2026-01-24T19:06:11.295423,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-24__23-27-55,2026-01-24T23:27:57.491793,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-25__15-26-58,2026-01-25T15:26:59.695245,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-25__23-46-51,2026-01-25T23:46:52.595888,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__10-29-58,2026-01-26T10:30:00.210717,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__14-30-45,2026-01-26T14:30:46.542639,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__16-14-59,2026-01-26T16:15:00.897838,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__19-49-15,2026-01-26T19:49:16.701436,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__20-06-35,2026-01-26T20:06:36.993592,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__20-16-21,2026-01-26T20:16:23.033619,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__20-44-12,2026-01-26T20:44:14.113656,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-26__20-45-21,2026-01-26T20:45:22.458100,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-27__00-55-22,2026-01-27T00:55:23.510522,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-27__11-31-09,2026-01-27T11:31:10.330745,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-27__15-48-31,2026-01-27T15:48:33.230626,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-27__20-08-18,2026-01-27T20:08:19.729510,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-27__23-29-16,2026-01-27T23:29:18.161612,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-28__09-02-48,2026-01-28T09:02:50.127857,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-28__10-01-15,2026-01-28T10:01:17.442909,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-01-28__14-47-09,2026-01-28T14:47:11.374569,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-04__15-30-16,2026-02-04T15:30:18.278685,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-04__15-56-21,2026-02-04T15:56:22.620457,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-04__17-15-38,2026-02-04T17:15:40.180291,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-04__21-22-17,2026-02-04T21:22:19.396757,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-05__08-59-48,2026-02-05T08:59:50.083942,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-05__09-42-14,2026-02-05T09:42:16.137286,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-05__16-06-58,2026-02-05T16:06:59.898109,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-05__18-40-54,2026-02-05T18:40:56.731856,5,5,5,0,0,0,0
hookele__gpt5.1-codex-mini,2026-02-06__09-44-35,2026-02-06T09:44:36.521909,95,95,95,0,0,0,0
