agent,agent_version,row_key,displayed_accuracy,displayed_stderr,tasks,counted_trials,successes,recomputed_accuracy_per_task_mean,recomputed_stderr,pooled_accuracy,tasks_with_lt2_trials,accuracy_matches_1e12,stderr_matches_1e9
codex,0.53.0,codex cli__gpt-5-nano,0.1146067415730337,0.011568123753917978,89,440,51,0.11460674157303372,0.011568123753917978,0.1159090909090909,0,True,True
codex,0.53.0,codex cli__gpt-5,0.4960674157303371,0.014782150465817143,89,439,217,0.4960674157303371,0.014782150465817143,0.49430523917995445,0,True,True
codex,0.63.0,codex cli__gpt-5.1-codex-max,0.604494382022472,0.013576456150106261,89,445,269,0.6044943820224719,0.013576456150106261,0.604494382022472,0,True,True
codex,0.73.0,codex cli__gpt-5.2,0.6292134831460674,0.015323799659534669,89,445,280,0.6292134831460674,0.015323799659534669,0.6292134831460674,0,True,True
codex,unknown,crux__gpt-5.1-codex-mini,0.4314606741573034,0.015323799659534669,89,445,192,0.4314606741573034,0.015323799659534669,0.4314606741573034,0,True,True
codex,unknown,crux__gpt-5.1-codex,0.5775280898876405,0.01499063377991723,89,445,257,0.5775280898876405,0.014990633779917228,0.5775280898876405,0,True,True
deepagent-harbor,0.0.1,deep agents__gpt-5.2-codex,0.6651685393258427,0.015622961509074315,89,433,293,0.6651685393258427,0.015622961509074315,0.6766743648960739,0,True,True
final,1.5-official,maya-v2__claude 4.5 sonnet,0.42696629213483145,,89,437,190,0.42696629213483145,,0.43478260869565216,1,True,False
final,1.5-official,maya-v2__claude 4.6 opus,0.7207865168539326,0.011268678938824257,89,436,320,0.7207865168539327,0.011268678938824259,0.7339449541284404,0,True,True
gemini-cli,0.11.3,gemini cli__gemini 2.5 flash,0.1544943820224719,0.011815574198013,89,439,68,0.1544943820224719,0.011815574198013,0.1548974943052392,0,True,True
gemini-cli,0.11.3,gemini cli__gemini 2.5 pro,0.19550561797752808,0.014585117961513674,89,437,86,0.19550561797752808,0.014585117961513674,0.19679633867276888,0,True,True
gemini-cli,0.34.0,gemini cli__gemini 3.1 pro,0.5936329588014981,0.021433563936815725,89,206,125,0.5936329588014981,0.021433563936815725,0.6067961165048543,0,True,True
gemini-cli,0.35.0,gemini cli__gemini 3.1 pro,0.6142322097378277,0.021020547116707537,89,238,141,0.6142322097378277,0.021020547116707537,0.592436974789916,0,True,True
gemini-cli,unknown,gemini cli__gemini 3 flash,0.47415730337078654,0.015487695227067664,89,445,211,0.47415730337078654,0.015487695227067664,0.47415730337078654,0,True,True
goose,stable,goose__claude haiku 4.5,0.3550561797752809,0.014735816908543822,89,445,158,0.3550561797752809,0.014735816908543822,0.3550561797752809,0,True,True
goose,stable,goose__claude opus 4.5,0.5432584269662921,0.013400966788625351,89,442,239,0.5432584269662921,0.013400966788625353,0.5407239819004525,0,True,True
goose,stable,goose__claude sonnet 4.5,0.4314606741573034,0.013199258566821045,89,445,192,0.4314606741573034,0.013199258566821047,0.4314606741573034,0,True,True
grok-cli,1.1.1,grok cli__grok 4.20 reasoning,0.5730337078651685,,89,333,209,0.5730337078651685,,0.6276276276276276,19,True,False
harness-agent,unknown,harness agent__minimax m2.7 highspeed,0.42921348314606744,0.01499063377991723,89,437,189,0.42921348314606744,0.014990633779917228,0.43249427917620137,0,True,True
hookele,0.0.1,hookele__gpt-5.1-codex-mini,0.6157303370786517,0.009665534007913064,89,443,272,0.6157303370786517,0.009665534007913064,0.6139954853273137,0,True,True
ii-agent-simple,unknown,ii-agent__gemini 3 pro,0.6179775280898876,0.014389043230186176,89,445,275,0.6179775280898876,0.014389043230186178,0.6179775280898876,0,True,True
judy,0.7.0,tongagents__claude opus 4.6,0.7191011235955056,0.013669129281569032,89,445,320,0.7191011235955056,0.013669129281569032,0.7191011235955056,0,True,True
judy,0.8.0,tongagents__gemini 3.1 pro,0.802247191011236,0.013389185716643803,89,445,357,0.802247191011236,0.013389185716643801,0.802247191011236,0,True,True
letta-code,latest,letta code__claude opus 4.5,0.5910112359550562,0.012308372078767778,89,445,263,0.5910112359550562,0.012308372078767777,0.5910112359550562,0,True,True
letta-code,latest,letta code__gemini 3 pro,0.5595505617977528,0.015158132093519149,89,445,249,0.5595505617977528,0.015158132093519147,0.5595505617977528,0,True,True
letta-code,latest,letta code__gpt-5.1-codex,0.5348314606741573,0.014476515423286658,89,445,238,0.5348314606741573,0.014476515423286658,0.5348314606741573,0,True,True
little-coder,0.1.13,little-coder__qwen3.6-35b-a3b,0.2303370786516854,,89,157,35,0.2303370786516854,,0.2229299363057325,21,True,False
little-coder,0.1.14,little-coder__qwen3.6-35b-a3b,0.24625468164794007,0.016352293255218146,89,282,71,0.2462546816479401,0.01635229325521815,0.25177304964539005,0,True,True
little-coder,0.1.24,little-coder__qwen3.5-9b,0.09213483146067415,0.011996717137113833,89,445,41,0.09213483146067415,0.011996717137113833,0.09213483146067415,0,True,True
mini-swe-agent,unknown,mini-swe-agent__claude haiku 4.5,0.298314606741573,0.012823272146644188,89,444,132,0.29831460674157306,0.012823272146644188,0.2972972972972973,0,True,True
mini-swe-agent,unknown,mini-swe-agent__claude opus 4.1,0.350561797752809,0.012810959832574584,89,444,156,0.350561797752809,0.012810959832574584,0.35135135135135137,0,True,True
mini-swe-agent,unknown,mini-swe-agent__claude sonnet 4.5,0.42528089887640447,0.014312066520064042,89,442,188,0.4252808988764045,0.014312066520064042,0.4253393665158371,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gemini 2.5 flash,0.1707865168539326,0.012712032021331192,89,445,76,0.17078651685393256,0.012712032021331192,0.1707865168539326,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gemini 2.5 pro,0.2606741573033708,0.013006558317741826,89,444,116,0.2606741573033708,0.013006558317741827,0.26126126126126126,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-5-codex,0.4134831460674157,0.014123376505591612,89,444,184,0.4134831460674157,0.014123376505591614,0.4144144144144144,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-5-mini,0.22247191011235956,0.013389185716643803,89,445,99,0.22247191011235956,0.013389185716643801,0.22247191011235956,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-5-nano,0.0696629213483146,0.009795278524810502,89,445,31,0.0696629213483146,0.009795278524810502,0.0696629213483146,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-5,0.3393258426966292,0.014821242649744854,89,445,151,0.3393258426966292,0.014821242649744852,0.3393258426966292,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-oss-120b,0.14157303370786517,0.011568123753917978,89,445,63,0.14157303370786517,0.011568123753917978,0.14157303370786517,0,True,True
mini-swe-agent,unknown,mini-swe-agent__gpt-oss-20b,0.033707865168539325,0.006926307868504468,89,445,15,0.033707865168539325,0.006926307868504468,0.033707865168539325,0,True,True
mini-swe-agent,unknown,mini-swe-agent__grok 4,0.2539325842696629,0.014906178833057978,89,445,113,0.2539325842696629,0.014906178833057976,0.2539325842696629,0,True,True
mini-swe-agent,unknown,mini-swe-agent__grok code fast 1,0.25842696629213485,0.013389185716643803,89,445,115,0.25842696629213485,0.013389185716643801,0.25842696629213485,0,True,True
mux,unknown,mux__claude opus 4.5,0.5842696629213483,,89,89,52,0.5842696629213483,,0.5842696629213483,89,True,False
mux,unknown,mux__claude opus 4.6,0.6651685393258427,0.012909129542782087,89,445,296,0.6651685393258427,0.012909129542782087,0.6651685393258427,0,True,True
mux,unknown,mux__gpt-5.2,0.6067415730337079,,89,89,54,0.6067415730337079,,0.6067415730337079,89,True,False
mux,unknown,mux__gpt-5.3-codex,0.7460674157303371,0.012810959832574584,89,445,332,0.7460674157303372,0.012810959832574584,0.7460674157303371,0,True,True
nexau,unknown,nexau-ahe__gpt-5.5,0.8471910112359551,0.010659362899443975,89,443,376,0.8471910112359551,0.010659362899443975,0.8487584650112867,0,True,True
opencode,unknown,opencode__claude opus 4.5,0.5168539325842697,,89,89,46,0.5168539325842697,,0.5168539325842697,89,True,False
openhands,0.60.0,openhands__claude haiku 4.5,0.1393258426966292,0.013943453534821187,89,444,62,0.1393258426966292,0.013943453534821189,0.13963963963963963,0,True,True
openhands,0.60.0,openhands__claude opus 4.1,0.3685393258426966,0.013761178330242574,89,445,164,0.3685393258426966,0.013761178330242572,0.3685393258426966,0,True,True
openhands,0.60.0,openhands__claude sonnet 4.5,0.4258426966292135,0.01413826673271676,89,443,188,0.4258426966292135,0.014138266732716759,0.42437923250564336,0,True,True
openhands,0.60.0,openhands__gemini 2.5 flash,0.16404494382022472,0.01220537133842721,89,445,73,0.16404494382022472,0.012205371338427208,0.16404494382022472,0,True,True
openhands,0.60.0,openhands__gemini 2.5 pro,0.16404494382022472,0.014033703367187412,89,445,73,0.16404494382022472,0.014033703367187412,0.16404494382022472,0,True,True
openhands,0.60.0,openhands__gpt-5-mini,0.29213483146067415,0.014033703367187412,89,445,130,0.29213483146067415,0.014033703367187412,0.29213483146067415,0,True,True
openhands,0.60.0,openhands__gpt-5-nano,0.09887640449438202,0.01077714949059038,89,444,44,0.09887640449438204,0.01077714949059038,0.0990990990990991,0,True,True
openhands,0.60.0,openhands__gpt-5,0.43820224719101125,0.01524119097331521,89,445,195,0.43820224719101125,0.01524119097331521,0.43820224719101125,0,True,True
openhands,0.60.0,openhands__grok 4,0.27191011235955054,0.015568996023091032,89,444,121,0.27191011235955054,0.015568996023091032,0.2725225225225225,0,True,True
openhands,0.60.0,openhands__kimi k2 instruct,0.26741573033707866,0.013761178330242574,89,445,119,0.26741573033707866,0.013761178330242572,0.26741573033707866,0,True,True
openhands,0.60.0,openhands__qwen 3 coder 480b,0.2539325842696629,0.013199258566821045,89,443,113,0.2539325842696629,0.013199258566821047,0.255079006772009,0,True,True
openhands,1.1.0,openhands__claude opus 4.5,0.5191011235955056,0.014735816908543822,89,445,231,0.5191011235955056,0.014735816908543822,0.5191011235955056,0,True,True
polaris,2.2.0 (Polaris),"polaris__claude opus 4.7,gemini 3.1 pro preview,gpt-5.5",0.8219101123595506,0.014223583035024901,89,444,365,0.8219101123595506,0.014223583035024903,0.8220720720720721,0,True,True
qwen-agent,1.0.0,bash agent__termigen-32b,0.19325842696629214,0.01017459004285103,89,445,86,0.19325842696629214,0.01017459004285103,0.19325842696629214,0,True,True
ruley,1.0.0,codebrain-1.5__gemini 3 pro,0.6224719101123596,0.013294561310336217,89,445,277,0.6224719101123596,0.013294561310336215,0.6224719101123596,0,True,True
ruley,1.0.0,codebrain-1.5__gpt-5.3-codex,0.7584269662921348,0.010359038716059425,89,890,675,0.7584269662921348,0.010359038716059425,0.7584269662921348,0,True,True
sage,unknown,sageagent__gemini 3 pro,0.651685393258427,0.010540260134434673,89,445,290,0.651685393258427,0.010540260134434674,0.651685393258427,0,True,True
sage,unknown,sageagent__gpt-5.3-codex,0.7842696629213484,0.011235955056179775,89,445,349,0.7842696629213483,0.011235955056179775,0.7842696629213484,0,True,True
simple_codex,unknown,simple codex__gpt-5.3-codex,0.750561797752809,0.01220537133842721,89,443,332,0.750561797752809,0.012205371338427208,0.7494356659142212,0,True,True
spoox-m,unknown,spoox-o-m__gpt-5-mini,0.34831460674157305,0.013852615737008935,89,445,155,0.34831460674157305,0.013852615737008935,0.34831460674157305,0,True,True
spoox-m,unknown,spoox-o-m__gpt-5-nano,0.21797752808988763,0.01430103602399759,89,444,97,0.21797752808988766,0.01430103602399759,0.21846846846846846,0,True,True
spoox-m,unknown,spoox-o-m__gpt-5.3-codex,0.7146067415730337,0.012712032021331192,89,445,318,0.7146067415730337,0.012712032021331192,0.7146067415730337,0,True,True
terminal-agent,0.3.0,simplai agent__claude sonnet 4.6,0.5342696629213484,0.014438918746218153,89,433,232,0.5342696629213483,0.014438918746218153,0.535796766743649,0,True,True
terminus-2,2.0.0,terminus 2__afterquery-gpt-oss-20b,0.1702247191011236,0.012524436409892108,89,435,75,0.1702247191011236,0.012524436409892108,0.1724137931034483,0,True,True
terminus-2,2.0.0,terminus 2__claude haiku 4.5,0.28314606741573034,0.014671421187865838,89,439,125,0.28314606741573034,0.014671421187865838,0.2847380410022779,0,True,True
terminus-2,2.0.0,terminus 2__claude opus 4.1,0.3797752808988764,0.013389185716643803,89,443,169,0.37977528089887636,0.013389185716643801,0.38148984198645597,0,True,True
terminus-2,2.0.0,terminus 2__claude opus 4.5,0.5775280898876405,0.012909129542782087,89,445,257,0.5775280898876405,0.012909129542782087,0.5775280898876405,0,True,True
terminus-2,2.0.0,terminus 2__claude opus 4.6,0.6292134831460674,0.013576456150106261,89,445,280,0.6292134831460674,0.013576456150106261,0.6292134831460674,0,True,True
terminus-2,2.0.0,terminus 2__claude sonnet 4.5,0.4280898876404494,0.014227280833874591,89,440,190,0.4280898876404495,0.014227280833874591,0.4318181818181818,0,True,True
terminus-2,2.0.0,terminus 2__deepseek-v3.2,0.3955056179775281,0.014033703367187412,89,445,176,0.39550561797752815,0.014033703367187412,0.3955056179775281,0,True,True
terminus-2,2.0.0,terminus 2__gemini 2.5 flash,0.16853932584269662,0.012101493948616864,89,439,75,0.16853932584269662,0.012101493948616865,0.17084282460136674,0,True,True
terminus-2,2.0.0,terminus 2__gemini 2.5 pro,0.32640449438202246,0.015416205319114881,89,442,145,0.32640449438202246,0.01541620531911488,0.32805429864253394,0,True,True
terminus-2,2.0.0,terminus 2__gemini 3 flash,0.5168539325842697,0.015969292588260558,89,445,230,0.5168539325842697,0.015969292588260554,0.5168539325842697,0,True,True
terminus-2,2.0.0,terminus 2__gemini 3 pro,0.5685393258426966,0.012612328270024521,89,445,253,0.5685393258426966,0.012612328270024523,0.5685393258426966,0,True,True
terminus-2,2.0.0,terminus 2__glm 4.6,0.24531835205992508,0.012472528693143605,89,452,112,0.24531835205992508,0.012472528693143605,0.24778761061946902,0,True,True
terminus-2,2.0.0,terminus 2__glm 4.7,0.3338951310861423,0.01449709156027109,89,427,147,0.3338951310861423,0.01449709156027109,0.3442622950819672,0,True,True
terminus-2,2.0.0,terminus 2__glm 5,0.5241573033707865,0.013400966788625351,89,442,231,0.5241573033707865,0.013400966788625353,0.5226244343891403,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5-codex,0.43426966292134833,0.014660661068202121,89,437,193,0.4342696629213483,0.014660661068202121,0.4416475972540046,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5-mini,0.24044943820224718,0.012909129542782087,89,438,107,0.2404494382022472,0.012909129542782087,0.24429223744292236,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5-nano,0.07865168539325842,0.009534024015998394,89,436,35,0.07865168539325842,0.009534024015998394,0.08027522935779817,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5.1-codex,0.3685393258426966,0.01651341399629109,89,445,164,0.36853932584269666,0.01651341399629109,0.3685393258426966,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5.1,0.47584269662921347,0.014089815959533092,89,445,212,0.4758426966292135,0.014089815959533092,0.4764044943820225,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5.2,0.5404494382022472,0.014750088889524508,89,444,240,0.5404494382022472,0.014750088889524506,0.5405405405405406,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5.3-codex,0.647191011235955,0.013852615737008935,89,445,288,0.6471910112359551,0.013852615737008935,0.647191011235955,0,True,True
terminus-2,2.0.0,terminus 2__gpt-5,0.35168539325842696,0.015589254972484952,89,438,156,0.35168539325842696,0.015589254972484954,0.3561643835616438,0,True,True
terminus-2,2.0.0,terminus 2__gpt-oss-120b,0.18689138576779027,0.013571289087635535,89,463,89,0.18689138576779027,0.013571289087635535,0.19222462203023757,0,True,True
terminus-2,2.0.0,terminus 2__gpt-oss-20b,0.030711610486891385,0.007748374856021424,89,466,14,0.030711610486891385,0.007748374856021424,0.030042918454935622,0,True,True
terminus-2,2.0.0,terminus 2__grok 4,0.23146067415730337,0.014821242649744854,89,436,103,0.2314606741573034,0.014821242649744852,0.23623853211009174,0,True,True
terminus-2,2.0.0,terminus 2__grok code fast 1,0.14157303370786517,0.013006558317741826,89,445,63,0.14157303370786517,0.013006558317741827,0.14157303370786517,0,True,True
terminus-2,2.0.0,terminus 2__kimi k2 instruct,0.27790262172284647,0.012865591039189264,89,462,129,0.27790262172284647,0.012865591039189266,0.2792207792207792,0,True,True
terminus-2,2.0.0,terminus 2__kimi k2 thinking,0.35730337078651686,0.014389043230186176,89,446,160,0.35730337078651686,0.014389043230186178,0.35874439461883406,0,True,True
terminus-2,2.0.0,terminus 2__kimi k2.5,0.43202247191011234,0.01468217342176627,89,435,189,0.4320224719101124,0.01468217342176627,0.43448275862068964,0,True,True
terminus-2,2.0.0,terminus 2__minimax m2.1,0.29213483146067415,0.014821242649744854,89,438,130,0.29213483146067415,0.014821242649744852,0.2968036529680365,0,True,True
terminus-2,2.0.0,terminus 2__minimax m2.5,0.42247191011235957,0.013389185716643803,89,445,188,0.42247191011235957,0.013389185716643801,0.42247191011235957,0,True,True
terminus-2,2.0.0,terminus 2__minimax m2,0.300374531835206,0.013983636481344172,89,451,138,0.300374531835206,0.013983636481344174,0.30598669623059865,0,True,True
terminus-2,2.0.0,terminus 2__qwen 3 coder 480b,0.2389513108614232,0.014291223991265103,89,465,112,0.2389513108614232,0.014291223991265103,0.24086021505376345,0,True,True
terminus-3-3,3.3.0,terminus-kira__claude opus 4.6,0.7471910112359551,0.0132469956433164,89,442,331,0.7471910112359551,0.013246995643316401,0.748868778280543,0,True,True
terminus-3-3,3.3.0,terminus-kira__gemini 3.1 pro,0.748314606741573,0.013103262685045618,89,445,333,0.748314606741573,0.013103262685045618,0.748314606741573,0,True,True
terminus-kira-env-bootstrap,1.1.0,meta-harness__claude opus 4.6,0.7640449438202247,0.012410517996839619,89,445,340,0.7640449438202247,0.012410517996839619,0.7640449438202247,0,True,True
warp,unknown,"warp__claude haiku 4.5,claude sonnet 4.5,gpt-5-nano",0.501123595505618,0.013576456150106261,89,445,223,0.501123595505618,0.013576456150106261,0.501123595505618,0,True,True
warp,unknown,"warp__claude haiku 4.5,gemini 3 pro,gpt-5-nano",0.5910112359550562,0.014033703367187412,89,445,263,0.5910112359550562,0.014033703367187412,0.5910112359550562,0,True,True
warp,unknown,"warp__claude haiku 4.5,gpt-5.2",0.6123595505617978,0.015419617116283821,89,444,272,0.6123595505617978,0.015419617116283821,0.6126126126126126,0,True,True
